X,"code","glottocode"
685,"alp","alun1238"
686,"alq","algo1255"
687,"alr","alut1245"
688,"alt","sout2694"
689,"alu","area1240"
690,"aly","alya1239"
691,"amf","hame1242"
692,"ami","amis1246"
693,"amk","amba1265"
694,"amm","amap1240"
695,"amn","aman1265"
696,"amo","amoo1242"
697,"amp","alam1246"
698,"amr","amar1274"
699,"amu","guer1243"
700,"amy","amii1238"
701,"ane","xara1244"
702,"anh","nend1239"
703,"ani","andi1255"
704,"ank","goem1240"
705,"ann","obol1243"
706,"ano","ando1256"
707,"anq","jara1245"
708,"anu","anua1242"
709,"any","anyi1245"
710,"anz","anem1249"
711,"aoa","ango1258"
712,"aoc","pemo1248"
713,"aoi","anin1240"
714,"aoj","mufi1238"
715,"aom","omie1241"
716,"aoz","uabm1237"
717,"apb","saaa1240"
718,"ape","buki1249"
719,"aph","athp1241"
720,"apj","jica1244"
721,"apm","mesc1238"
722,"apr","arop1243"
723,"apu","apur1254"
724,"apw","west2615"
725,"apy","apal1257"
726,"apz","safe1240"
727,"aqc","arch1244"
728,"aqp","atak1252"
729,"arb","stan1318"
730,"ard","arab1267"
731,"are","west2441"
732,"arh","arhu1242"
733,"ari","arik1262"
734,"arl","arab1268"
735,"aro","arao1248"
736,"arp","arap1274"
737,"arr","karo1305"
738,"arv","arbo1245"
739,"arw","araw1276"
740,"asa","asut1235"
741,"ase","amer1248"
742,"asf","aust1271"
743,"ast","astu1245"
744,"asu","toca1235"
745,"atj","atik1240"
746,"atq","aral1243"
747,"atw","atsu1245"
748,"aty","anei1239"
749,"auc","waor1240"
750,"aul","aulu1238"
751,"auw","awyi1241"
752,"ava","avar1256"
753,"avi","avik1243"
754,"avn","avat1244"
755,"avt","auuu1241"
756,"awb","awap1236"
757,"awi","aeky1238"
758,"axb","abip1241"
759,"axk","yaka1272"
760,"ayl","liby1240"
761,"ayn","sana1295"
762,"ayo","ayor1240"
763,"ayz","maib1239"
764,"azz","high1278"
765,"baa","baba1268"
766,"bae","bare1276"
767,"bak","bash1264"
768,"ban","bali1278"
769,"bar","bava1246"
770,"baw","bamb1266"
771,"baz","tune1241"
772,"bbb","nucl1630"
773,"bbc","bata1289"
774,"bbd","bauu1244"
775,"bbl","bats1242"
776,"bca","cent2004"
777,"bck","buna1275"
778,"bcl","cent2087"
779,"bcm","bann1247"
780,"bco","kalu1248"
781,"bcq","benc1235"
782,"bcs","kohu1244"
783,"bcw","bana1305"
784,"bde","bade1248"
785,"bdg","bong1289"
786,"bdh","baka1274"
787,"bdk","budu1248"
788,"bdl","indo1317"
789,"bdm","budu1265"
790,"bdq","bahn1262"
791,"bds","buru1320"
792,"bdu","orok1266"
793,"bdw","baha1258"
794,"bdy","midd1357"
795,"bee","byan1241"
796,"bef","bena1264"
797,"bej","beja1238"
798,"bel","bela1254"
799,"bev","dalo1238"
800,"bew","beta1252"
801,"bfa","bari1284"
802,"bfi","brit1235"
803,"bfu","gahr1239"
804,"bgp","east2304"
805,"bgq","bagr1243"
806,"bgr","bawm1236"
807,"bgz","bang1368"
808,"bhg","bina1277"
809,"bhm","bath1244"
810,"bho","bhoj1244"
811,"bhp","bima1247"
812,"bhq","tuka1249"
813,"bhw","biak1248"
814,"bia","badi1246"
815,"bid","bidi1241"
816,"bif","biaf1240"
817,"bio","naii1241"
818,"bip","bila1255"
819,"bis","bisl1239"
820,"bjb","bang1339"
821,"bjh","bahi1254"
822,"bji","burj1242"
823,"bjr","binu1245"
824,"bjy","baya1257"
825,"bkd","binu1244"
826,"bkl","beri1254"
827,"bkq","baka1277"
828,"blb","bilu1245"
829,"blc","bell1243"
830,"ble","bala1301"
831,"bli","boli1255"
832,"bll","bilo1248"
833,"blw","bala1310"
834,"blz","bala1315"
835,"bmi","bagi1246"
836,"bmr","muin1242"
837,"bmu","buru1306"
838,"bmy","bemb1258"
839,"bnc","bont1247"
840,"bng","beng1282"
841,"bni","bang1354"
842,"bnq","bant1286"
843,"boa","bora1263"
844,"bod","tibe1272"
845,"boi","barb1263"
846,"bor","boro1282"
847,"bos","bosn1245"
848,"bot","bong1285"
849,"boz","tiey1235"
850,"bpp","kaur1271"
851,"bps","sara1326"
852,"bpu","bong1291"
853,"bqp","busa1253"
854,"bqy","beng1239"
855,"brb","lave1249"
856,"brc","berb1259"
857,"brg","baur1253"
858,"brh","brah1256"
859,"bri","mokp1239"
860,"brm","bara1361"
861,"brn","boru1252"
862,"bru","east2332"
863,"brv","west2397"
864,"brx","bodo1269"
865,"bsc","bass1258"
866,"bsh","kati1270"
867,"bsn","bara1380"
868,"bsp","baga1272"
869,"bsw","bais1246"
870,"bth","biat1246"
871,"btz","bata1292"
872,"bue","beot1247"
873,"buf","bush1247"
874,"bug","bugi1244"
875,"buh","youn1235"
876,"buo","tere1278"
877,"buu","budu1250"
878,"bvb","bube1242"
879,"bvq","birr1240"
880,"bvr","bura1267"
881,"bvs","belg1241"
882,"bvx","dibo1245"
883,"bvz","bauz1241"
884,"bwe","bwek1238"
885,"bwi","bani1255"
886,"bwr","bura1292"
887,"bwu","buli1254"
888,"bxj","bayu1240"
889,"bxm","mong1330"
890,"bya","bata1301"
891,"byn","bili1260"
892,"byr","baru1267"
893,"byw","belh1239"
894,"byx","qaqe1238"
895,"bzd","brib1243"
896,"bzf","boik1241"
897,"bzi","bisu1244"
898,"bzj","beli1260"
899,"bzq","buli1255"
900,"bzr","biri1256"
901,"bzs","braz1236"
902,"caa","chor1273"
903,"cac","chuj1250"
904,"cad","cadd1256"
905,"cag","niva1238"
906,"cal","caro1242"
907,"cam","cemu1238"
908,"can","cham1313"
909,"cap","chip1262"
910,"caq","carn1240"
911,"cas","mose1249"
912,"cav","cavi1250"
913,"cax","chiq1248"
914,"cay","cayu1261"
915,"cbc","cara1272"
916,"cbd","cari1279"
917,"cbg","chim1309"
918,"cbn","nyah1250"
919,"cbr","cash1251"
920,"cbs","cash1254"
921,"cbt","chay1248"
922,"cbu","cand1248"
923,"cbv","cacu1241"
924,"cco","coma1246"
925,"cdm","chep1245"
926,"cdo","mind1253"
927,"ceb","cebu1242"
928,"cgg","chig1238"
929,"chb","chib1270"
930,"chc","cata1286"
931,"chd","high1242"
932,"che","chec1245"
933,"chh","chin1286"
